time,text
00:00:00-00:00:15,ท่าน พูด ถึง สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ ฉัน ต้องการ ของ ฉัน คือ สิ่ง ที่ฉัน คือ ฉัน คือ สิ่ง ที่ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ ฉัน คือ
00:00:15-00:00:30,ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน รู้ ไหม ว่า ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น
00:00:30-00:00:45,ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน รู้ ไหม ว่า ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ครับ ท่าน ยัง มี สิทธิ เหตุการณ์ เหตุการณ์ เหตุการณ์ เหตุการณ์ เหตุการณ์ เหตุการณ์ เหตุการณ์ เหตุการณ์
00:00:45-00:01:00,ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน บอก ว่า ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน บอก ว่า ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ เหตุการณ์ อื่น ไหม ท่าน ยัง มี สิทธิ
00:01:00-00:01:15,ท่าน ยัง ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ไม่ รู้ หรือเปล่า ว่า ท่าน ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง ยัง
00:01:15-00:01:30,ท่าน ยัง ไม่ มี ประวัติศาสตร์ หรือ สิ่งแวดล้อม ที่ ท่าน สามารถ รู้จัก กัน ได้ บ้าง ครับ
00:01:30-00:01:45,ท่าน ยัง ไม่ มี ประวัติศาสตร์ หรือ สิ่ง ที่ ท่าน สามารถ รู้จัก กัน ได้ บ้าง ครับ
00:01:45-00:02:00,ท่าน ยัง มี สิทธิ เงียบเหงื่อ ของ ท่าน อยู่ บ้าง ครับ
00:02:00-00:02:15,ท่าน ยัง ไม่ มี ประวัติศาสตร์ หรือ สิ่งแวดล้อม ที่ คุณ สามารถ ควบคุม ได้ ได้ ตั้งแต่ สิบ เจ็ด วัน นี้ ครับ
00:02:15-00:02:30,ท่าน ยัง มี สิทธิ เงียบเหงื่อ ของ ท่าน อยู่ บ้าง ครับ
